University,City,State,Religion,Market_Saturation_Percentile,Academic_Efficiency_Percentile,aCFI_Percentile,Survivability,full_address,location,Latitude,Longitude
Fresno Pacific University,Fresno,CA,Anabaptist,33.36,54.74,48.76,43.796,"Fresno Pacific University, Fresno, CA","Fresno Pacific University, South Garden Avenue, Fresno, Fresno County, California, 93727, United States",36.72601005,-119.73419010411482
Goshen College,Goshen,IN,Anabaptist,33.8,40.05,40.67,37.799,"Goshen College, Goshen, IN","Goshen College, 1700, South Main Street, Parkside, Goshen, Elkhart County, Indiana, 46526, United States",41.56248295,-85.82522495563299
Huntington University,Huntington,IN,Anabaptist,42.7,42.0,49.4,45.242,"Huntington University, Huntington, IN","Huntington University, Ray Street, Huntington, Huntington County, Indiana, 46750, United States",40.89905155,-85.5022118549875
Manchester University,North Manchester,IN,Anabaptist,37.03,41.18,50.56,43.275,"Manchester University, North Manchester, IN","Manchester University, 604, East College Avenue, North Manchester, Wabash County, Indiana, 46962, United States",41.01177555,-85.76000953742776
Emmaus Bible College,Dubuque,IA,Anabaptist,25.59,39.2,66.28,44.597,"Emmaus Bible College, Dubuque, IA","Emmaus Bible College, 2570, Asbury Road, College Grandview District, Dubuque, Dubuque County, Iowa, 52001, United States",42.5087374,-90.7060749086276
Hesston College,Hesston,KS,Anabaptist,27.23,38.97,96.4,57.264,"Hesston College, Hesston, KS","Hesston College, South Hess Avenue, Hesston, Harvey County, Kansas, 67062, United States",38.13468465,-97.43391833739682
McPherson College,McPherson,KS,Anabaptist,34.49,40.21,90.49,58.05,"McPherson College, McPherson, KS","McPherson College, Simpson Street, McPherson, McPherson County, Kansas, 67460, United States",38.37222595,-97.64194995634703
Tabor College,Hillsboro,KS,Anabaptist,29.29,39.01,52.11,40.367,"Tabor College, Hillsboro, KS","Tabor College, East B Street, Hillsboro, Marion County, Kansas, 67063, United States",38.34564655,-97.19974490220972
Ashland University,Ashland,OH,Anabaptist,42.07,54.22,49.96,47.656,"Ashland University, Ashland, OH","Ashland University, 401, College Avenue, Center Street Historic District, Ashland, Ashland County, Ohio, 44805, United States",40.86206715,-82.32557737380854
Bluffton University,Bluffton,OH,Anabaptist,30.68,38.74,51.08,40.457,"Bluffton University, Bluffton, OH","Bluffton University, Adams Bridge, Downtown Bluffton, Bluffton, Allen County, Ohio, 45817, United States",40.8965715,-83.89964803548409
